,Date,Open,High,Low,Close,Adj Close,Volume,daily change
0,2020-06-29,88.3125,90.542503,87.82,90.445,89.839653,130646000.0,
1,2020-06-30,90.019997,91.495003,90.0,91.199997,90.5896,140223200.0,0.7499470000000059
2,2020-07-01,91.279999,91.839996,90.977501,91.027496,90.418251,110737200.0,-0.1713490000000064
3,2020-07-02,91.962502,92.6175,90.910004,91.027496,90.418251,114041600.0,0.0
4,2020-07-06,92.5,93.945,92.467499,93.462502,92.83695999999999,118655600.0,2.4187089999999927
5,2020-07-07,93.852501,94.654999,93.057503,93.172501,92.548889,112424400.0,-0.288070999999988
6,2020-07-08,94.18,95.375,94.089996,95.342499,94.704369,117092000.0,2.155479999999997
7,2020-07-09,96.262497,96.317497,94.672501,95.752502,95.111641,125642800.0,0.4072720000000061
8,2020-07-10,95.334999,95.980003,94.70500200000001,95.91999799999999,95.278015,90257200.0,0.16637399999999047
9,2020-07-13,97.264999,99.95500200000001,95.2575,95.477501,94.83847,191649200.0,-0.4395449999999954
10,2020-07-14,94.839996,97.254997,93.877502,97.057503,96.407898,170989200.0,1.569428000000002
11,2020-07-15,98.989998,99.247498,96.489998,97.724998,97.07093,153198000.0,0.6630320000000012
12,2020-07-16,96.5625,97.404999,95.904999,96.522499,95.87647199999999,110577600.0,-1.1944580000000116
13,2020-07-17,96.987503,97.147499,95.839996,96.327499,95.682777,92186800.0,-0.19369499999999107
14,2020-07-20,96.417503,98.5,96.0625,98.35749799999999,97.699188,90318000.0,2.016411000000005
15,2020-07-21,99.172501,99.25,96.7425,97.0,96.35078399999999,103433200.0,-1.3484040000000164
16,2020-07-22,96.692497,97.974998,96.602501,97.272499,96.621452,89001600.0,0.2706680000000148
17,2020-07-23,96.997498,97.077499,92.010002,92.845001,92.223587,197004400.0,-4.39786500000001
18,2020-07-24,90.987503,92.970001,89.144997,92.614998,91.995125,185438800.0,-0.22846199999999328
19,2020-07-27,93.709999,94.904999,93.480003,94.809998,94.17543,121214000.0,2.180305000000004
20,2020-07-28,94.3675,94.550003,93.247498,93.252502,92.628365,103625600.0,-1.5470650000000035
21,2020-07-29,93.75,95.230003,93.712502,95.040001,94.40389300000001,90329200.0,1.7755280000000084
22,2020-07-30,94.1875,96.297501,93.76750200000001,96.190002,95.546204,158130000.0,1.1423109999999923
23,2020-07-31,102.885002,106.415001,100.824997,106.260002,105.548805,374336800.0,10.002600999999999
24,2020-08-03,108.199997,111.637497,107.89250200000001,108.9375,108.208389,308151200.0,2.6595839999999953
25,2020-08-04,109.1325,110.790001,108.387497,109.665001,108.93101499999999,173071600.0,0.7226259999999911
26,2020-08-05,109.377502,110.39250200000001,108.897499,110.0625,109.325851,121776800.0,0.3948360000000122
27,2020-08-06,110.404999,114.412498,109.797501,113.902496,113.140152,202428800.0,3.8143010000000004
28,2020-08-07,113.20500200000001,113.675003,110.292503,111.112503,110.56783300000001,198045600.0,-2.572318999999993
29,2020-08-10,112.599998,113.775002,110.0,112.727501,112.17491100000001,212403600.0,1.6070780000000013
30,2020-08-11,111.970001,112.48249799999999,109.10749799999999,109.375,108.83883700000001,187902400.0,-3.3360739999999964
31,2020-08-12,110.497498,113.275002,110.297501,113.010002,112.456024,165598000.0,3.617186999999987
32,2020-08-13,114.43,116.042503,113.927498,115.010002,114.44621299999999,210082000.0,1.9901889999999867
33,2020-08-14,114.83000200000001,115.0,113.04499799999999,114.907501,114.344223,165565200.0,-0.10198999999998648
34,2020-08-17,116.0625,116.087502,113.962502,114.60749799999999,114.045685,119561600.0,-0.29853799999999353
35,2020-08-18,114.352501,116.0,114.0075,115.5625,114.99601000000001,105633600.0,0.9503250000000065
36,2020-08-19,115.98249799999999,117.162498,115.610001,115.707497,115.140297,145538000.0,0.1442869999999914
37,2020-08-20,115.75,118.39250200000001,115.73249799999999,118.275002,117.695213,126907200.0,2.5549159999999915
38,2020-08-21,119.262497,124.8675,119.25,124.370003,123.76033799999999,338054800.0,6.065124999999995
39,2020-08-24,128.697495,128.78500400000001,123.9375,125.85749799999999,125.24054,345937600.0,1.4802020000000056
40,2020-08-25,124.697502,125.18,123.052498,124.824997,124.213104,211495600.0,-1.0274359999999945
41,2020-08-26,126.18,126.9925,125.082497,126.522499,125.90228300000001,163022400.0,1.68917900000001
42,2020-08-27,127.14250200000001,127.485001,123.832497,125.010002,124.39720200000001,155552400.0,-1.505081000000004
43,2020-08-28,126.012497,126.442497,124.577499,124.807503,124.19569399999999,187630000.0,-0.20150800000001823
